Name,Community,Longitude,Latitude
"BURNT SAVANNAH ST ELIZABETH","BURNT SAVANNAH ST ELIZABETH",-77.7569889,18.0615259
"NEW MARKET ST ELIZABETH","NEW MARKET ST ELIZABETH",-77.9250912,18.1494784
"SPRINGFIELD ST ELIZABETH","SPRINGFIELD ST ELIZABETH",-77.8713443,18.1741217
"SAVANNA LA MAR WESTMORELAND","SAVANNA LA MAR WESTMORELAND",-78.1324313,18.2224783
"DARLISTON WESTMORELAND","DARLISTON WESTMORELAND",-77.9860706,18.2386239
"BIGWOOD WESTMORELAND","BIGWOOD WESTMORELAND",-77.9897163,18.2142111
"LENNOX WESTMORELAND","LENNOX WESTMORELAND",-77.944608,18.1834462
"BLUEFIELDS WESTMORELAND","BLUEFIELDS WESTMORELAND",-78.0267258,18.1661147
"THATCH VALLEY WESTMORELAND","THATCH VALLEY WESTMORELAND",-77.9618759,18.2371574
"CONTENT WESTMORELAND","CONTENT WESTMORELAND",-77.9997876,18.1802035
